chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
./classesTest/jfree/data/xy/,AbstractIntervalXYDataset,8,40,5.0,2.0,2.5

./classesTest/jfree/data/xy/,AbstractXYDataset,6,25,4.0,1.6666666,2.4000000572204603

./classesTest/jfree/data/xy/,AbstractXYZDataset,4,12,3.0,2.0,1.5

./classesTest/jfree/data/xy/,CategoryTableXYDataset,31,204,6.0,1.2307693,4.874999818392105

./classesTest/jfree/data/xy/,DefaultHighLowDataset,39,208,5.0,1.8333334,2.7272726681606843

./classesTest/jfree/data/xy/,DefaultIntervalXYDataset,54,293,5.0,1.6842105,2.968749977881089

./classesTest/jfree/data/xy/,DefaultOHLCDataset,28,157,5.0,1.4736842,3.392857186192153

./classesTest/jfree/data/xy/,DefaultTableXYDataset,42,244,5.0,1.8,2.7777778513637608

./classesTest/jfree/data/xy/,DefaultWindDataset,13,130,10.0,2.0,5.0

./classesTest/jfree/data/xy/,DefaultXYDataset,34,212,6.0,1.9285715,3.1111110561669126

./classesTest/jfree/data/xy/,DefaultXYZDataset,38,209,5.0,1.6875,2.962962962962963

./classesTest/jfree/data/xy/,IntervalXYDataset,10,91,9.0,NaN,NaN

./classesTest/jfree/data/xy/,IntervalXYDelegate,19,211,11.0,1.8571428,5.923077086019803

./classesTest/jfree/data/xy/,IntervalXYZDataset,9,52,5.0,NaN,NaN

./classesTest/jfree/data/xy/,MatrixSeries,7,87,12.0,1.8181819,6.599999803304678

./classesTest/jfree/data/xy/,MatrixSeriesCollection,20,123,6.0,1.4,4.2857143586995665

./classesTest/jfree/data/xy/,NormalizedMatrixSeries,8,54,6.0,1.0,6.0

./classesTest/jfree/data/xy/,OHLCDataItem,21,70,3.0,2.0,1.5

./classesTest/jfree/data/xy/,OHLCDataset,12,89,7.0,NaN,NaN

./classesTest/jfree/data/xy/,TableXYDataset,3,12,4.0,NaN,NaN

./classesTest/jfree/data/xy/,Vector,6,45,7.0,1.5714285,4.454545551095129

./classesTest/jfree/data/xy/,VectorDataItem,2,39,19.0,1.3333334,14.249999575316918

./classesTest/jfree/data/xy/,VectorSeries,4,82,20.0,1.0,20.0

./classesTest/jfree/data/xy/,VectorSeriesCollection,23,146,6.0,1.2352941,4.857142912287291

./classesTest/jfree/data/xy/,VectorXYDataset,5,34,6.0,NaN,NaN

./classesTest/jfree/data/xy/,WindDataset,4,27,6.0,NaN,NaN

./classesTest/jfree/data/xy/,XIntervalDataItem,2,33,16.0,1.6,9.99999985098839

./classesTest/jfree/data/xy/,XIntervalSeries,8,81,10.0,1.0,10.0

./classesTest/jfree/data/xy/,XIntervalSeriesCollection,25,166,6.0,1.2105263,4.9565216106818655

./classesTest/jfree/data/xy/,XisSymbolic,5,25,5.0,NaN,NaN

./classesTest/jfree/data/xy/,XYBarDataset,32,199,6.0,1.2857143,4.666666728478892

./classesTest/jfree/data/xy/,XYCoordinate,8,51,6.0,2.125,2.823529411764706

./classesTest/jfree/data/xy/,XYDataItem,10,97,9.0,1.5384616,5.84999989539385

./classesTest/jfree/data/xy/,XYDataset,8,62,7.0,NaN,NaN

./classesTest/jfree/data/xy/,XYDatasetTableModel,12,124,10.0,1.7,5.882352776180919

./classesTest/jfree/data/xy/,XYDomainInfo,4,16,4.0,NaN,NaN

./classesTest/jfree/data/xy/,XYInterval,16,52,3.0,2.1666667,1.384615333827997

./classesTest/jfree/data/xy/,XYIntervalDataItem,6,45,7.0,1.8333334,3.818181735424958

./classesTest/jfree/data/xy/,XYIntervalSeries,12,105,8.0,1.0,8.0

./classesTest/jfree/data/xy/,XYIntervalSeriesCollection,27,184,6.0,1.2380953,4.846153668397989

./classesTest/jfree/data/xy/,XYItemKey,10,34,3.0,1.625,1.8461538461538463

./classesTest/jfree/data/xy/,XYRangeInfo,4,17,4.0,NaN,NaN

./classesTest/jfree/data/xy/,XYSeries,46,412,8.0,2.2380953,3.5744680125770567

./classesTest/jfree/data/xy/,XYSeriesCollection,50,282,5.0,2.0857143,2.3972602113368358

./classesTest/jfree/data/xy/,XYZDataset,4,20,5.0,NaN,NaN

./classesTest/jfree/data/xy/,YInterval,6,38,6.0,2.0,3.0

./classesTest/jfree/data/xy/,YIntervalDataItem,2,33,16.0,1.6,9.99999985098839

./classesTest/jfree/data/xy/,YIntervalSeries,7,83,11.0,1.0,11.0

./classesTest/jfree/data/xy/,YIntervalSeriesCollection,25,166,6.0,1.2105263,4.9565216106818655

./classesTest/jfree/data/xy/,YisSymbolic,5,25,5.0,NaN,NaN

./classesTest/jfree/data/xy/,YWithXInterval,6,42,7.0,2.0,3.5

