chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartColor,26,44,1.0,1.0,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFactory,651,629,0.0,1.6666666,0.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFrame,3,263,87.0,1.3333334,65.24999805539852

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartHints,7,34,4.0,1.6666666,2.4000000572204603

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartMouseEvent,13,33,2.0,1.0,2.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartMouseListener,4,17,4.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,393,993,2.0,2.33,0.8583691268190418

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartRenderingInfo,29,99,3.0,1.6,1.8749999720603232

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartTheme,3,14,4.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartTransferable,86,108,1.0,1.0,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartUtils,209,358,1.0,1.0,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,HashUtils,2,145,72.0,2.2307692,32.27586313036765

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,JFreeChart,367,695,1.0,1.6774193,0.5961538639206158

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendItem,193,574,2.0,1.5,1.3333333333333333

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendItemCollection,12,51,4.0,1.375,2.909090909090909

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendItemSource,3,10,3.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendRenderingOrder,4,5,1.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,MouseWheelHandler,5,38,7.0,2.4,2.916666550768751

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,PaintMap,36,79,2.0,1.7142857,1.1666666550768747

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,PolarChartPanel,56,80,1.0,2.1666667,0.4615384446093323

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,StandardChartTheme,90,657,7.0,2.1555555,3.247422784177289

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,StrokeMap,33,76,2.0,1.7142857,1.1666666550768747

