chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractIntervalXYDataset,12,40,3.0,2.0,1.5

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractXYDataset,12,27,2.0,1.6666666,1.2000000286102301

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractXYZDataset,10,14,1.0,2.0,0.5

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,52,212,4.0,1.2307693,3.2499998789280697

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,56,220,3.0,1.8333334,1.6363636008964104

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultIntervalXYDataset,82,311,3.0,1.6842105,1.7812499867286533

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultOHLCDataset,53,178,3.0,1.4736842,2.035714311715292

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultTableXYDataset,80,278,3.0,1.8,1.6666667108182565

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultWindDataset,57,171,3.0,2.0,1.5

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultXYDataset,126,260,2.0,1.9285715,1.0370370187223044

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultXYZDataset,99,264,2.0,1.6875,1.1851851851851851

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,IntervalXYDataset,72,146,2.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,IntervalXYDelegate,101,276,2.0,1.8571428,1.076923106549055

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,IntervalXYZDataset,78,117,1.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,MatrixSeries,78,154,1.0,1.8181819,0.5499999836087232

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,MatrixSeriesCollection,100,197,1.0,1.4,0.7142857264499277

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,NormalizedMatrixSeries,88,128,1.0,1.0,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,OHLCDataItem,104,147,1.0,2.0,0.5

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,OHLCDataset,93,166,1.0,NaN,NaN

