chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,methode_CC,methode_BC
E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractIntervalXYDataset,getStartXValue_int,18,10,0.5555555555555556,2,0.2777777777777778

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractIntervalXYDataset,getEndXValue_int,19,11,0.5789473684210527,2,0.2894736842105263

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractIntervalXYDataset,getStartYValue_int,19,11,0.5789473684210527,2,0.2894736842105263

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractIntervalXYDataset,getEndYValue_int,19,11,0.5789473684210527,2,0.2894736842105263

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractXYDataset,getDomainOrder,9,6,0.6666666666666666,1,0.6666666666666666

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractXYDataset,getXValue_int,18,10,0.5555555555555556,2,0.2777777777777778

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractXYDataset,getYValue_int,18,10,0.5555555555555556,2,0.2777777777777778

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,AbstractXYZDataset,getZValue_int,17,9,0.5294117647058824,2,0.2647058823529412

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,CategoryTableXYDataset,10,5,0.5,1,0.5

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,add_double_,12,9,0.75,1,0.75

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,add_Number_,16,10,0.625,2,0.3125

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,remove_double,10,7,0.7,1,0.7

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,remove_Number_,14,8,0.5714285714285714,2,0.2857142857142857

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,clear,11,7,0.6363636363636364,1,0.6363636363636364

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getSeriesCount,10,7,0.7,1,0.7

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getSeriesKey_int,12,9,0.75,1,0.75

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getItemCount,10,7,0.7,1,0.7

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getItemCount_int,13,12,0.9230769230769231,1,0.9230769230769231

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getX_int,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getStartX_int,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getEndX_int,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getY_int,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getStartY_int,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getEndY_int,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getDomainLowerBound_boolean,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getDomainUpperBound_boolean,13,10,0.7692307692307693,1,0.7692307692307693

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getDomainBounds_boolean,18,10,0.5555555555555556,2,0.2777777777777778

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getIntervalPositionFactor,9,6,0.6666666666666666,1,0.6666666666666666

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,setIntervalPositionFactor_double,13,9,0.6923076923076923,1,0.6923076923076923

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,getIntervalWidth,9,6,0.6666666666666666,1,0.6666666666666666

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,setIntervalWidth_double,11,7,0.6363636363636364,1,0.6363636363636364

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,isAutoWidth,9,6,0.6666666666666666,1,0.6666666666666666

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,setAutoWidth_boolean,11,7,0.6363636363636364,1,0.6363636363636364

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,CategoryTableXYDataset,equals_Object,22,9,0.4090909090909091,4,0.10227272727272728

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getSeriesKey_int,42,39,0.9285714285714286,1,0.9285714285714286

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getX_int,19,16,0.8421052631578947,1,0.8421052631578947

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getXDate_int,16,13,0.8125,1,0.8125

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getY_int,18,15,0.8333333333333334,1,0.8333333333333334

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getHigh_int,15,12,0.8,1,0.8

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getHighValue_int,21,13,0.6190476190476191,2,0.30952380952380953

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getLow_int,15,12,0.8,1,0.8

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getLowValue_int,21,13,0.6190476190476191,2,0.30952380952380953

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getOpen_int,15,12,0.8,1,0.8

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getOpenValue_int,21,13,0.6190476190476191,2,0.30952380952380953

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getClose_int,15,12,0.8,1,0.8

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getCloseValue_int,21,13,0.6190476190476191,2,0.30952380952380953

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getVolume_int,15,12,0.8,1,0.8

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getVolumeValue_int,21,13,0.6190476190476191,2,0.30952380952380953

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getSeriesCount,12,9,0.75,1,0.75

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\data\xy\,DefaultHighLowDataset,getItemCount_int,12,9,0.75,1,0.75

