chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Downloads\jfree\data\xy\,AbstractIntervalXYDataset,79,40,0.5063291139240507,2.0,0.25316455696202533

E:\Downloads\jfree\data\xy\,AbstractXYDataset,53,27,0.5094339622641509,1.6666666,0.30566038464600204

E:\Downloads\jfree\data\xy\,AbstractXYZDataset,25,12,0.48,2.0,0.24

E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,348,206,0.5919540229885057,1.2222222,0.48432602405751934

E:\Downloads\jfree\data\xy\,DefaultHighLowDataset,369,208,0.5636856368563685,1.7894737,0.31500080258900326

E:\Downloads\jfree\data\xy\,DefaultIntervalXYDataset,500,295,0.59,1.7,0.3470588137946742

E:\Downloads\jfree\data\xy\,DefaultOHLCDataset,301,157,0.521594684385382,1.45,0.35972046016039577

E:\Downloads\jfree\data\xy\,DefaultTableXYDataset,567,252,0.4444444444444444,1.8055556,0.2461538425422985

E:\Downloads\jfree\data\xy\,DefaultWindDataset,292,130,0.4452054794520548,2.0,0.2226027397260274

E:\Downloads\jfree\data\xy\,DefaultWindDataset,140,43,0.30714285714285716,2.3333333,0.1316326575446061

E:\Downloads\jfree\data\xy\,DefaultXYDataset,361,176,0.48753462603878117,1.9333333,0.25217308969004626

E:\Downloads\jfree\data\xy\,DefaultXYZDataset,413,211,0.5108958837772397,1.7058823,0.2994906978767419

E:\Downloads\jfree\data\xy\,IntervalXYDataset,145,83,0.5724137931034483,1.0,0.5724137931034483

E:\Downloads\jfree\data\xy\,IntervalXYDelegate,456,221,0.48464912280701755,1.8181819,0.26655700959984174

E:\Downloads\jfree\data\xy\,IntervalXYZDataset,71,4,0.056338028169014086,NaN,NaN

E:\Downloads\jfree\data\xy\,MatrixSeries,227,89,0.3920704845814978,1.8181819,0.21563876009328795

E:\Downloads\jfree\data\xy\,MatrixSeriesCollection,302,129,0.4271523178807947,1.375,0.3106562311860325

E:\Downloads\jfree\data\xy\,NormalizedMatrixSeries,168,61,0.3630952380952381,1.0,0.3630952380952381

E:\Downloads\jfree\data\xy\,OHLCDataItem,219,70,0.319634703196347,1.8888888,0.16921837702686665

E:\Downloads\jfree\data\xy\,OHLCDataset,82,4,0.04878048780487805,NaN,NaN

E:\Downloads\jfree\data\xy\,TableXYDataset,85,7,0.08235294117647059,NaN,NaN

E:\Downloads\jfree\data\xy\,Vector,168,45,0.26785714285714285,1.5714285,0.1704545491490483

E:\Downloads\jfree\data\xy\,VectorDataItem,151,39,0.2582781456953642,1.3333334,0.19370860349855692

E:\Downloads\jfree\data\xy\,VectorSeries,204,83,0.4068627450980392,1.0,0.4068627450980392

E:\Downloads\jfree\data\xy\,VectorSeriesCollection,348,153,0.4396551724137931,1.2222222,0.35971787223689544

E:\Downloads\jfree\data\xy\,VectorXYDataset,128,27,0.2109375,1.0,0.2109375

E:\Downloads\jfree\data\xy\,WindDataset,120,23,0.19166666666666668,1.0,0.19166666666666668

E:\Downloads\jfree\data\xy\,XIntervalDataItem,158,33,0.2088607594936709,1.6,0.13053797273837695

E:\Downloads\jfree\data\xy\,XIntervalSeries,210,81,0.38571428571428573,1.0,0.38571428571428573

E:\Downloads\jfree\data\xy\,XIntervalSeriesCollection,388,170,0.4381443298969072,1.2,0.3651202604055137

E:\Downloads\jfree\data\xy\,XisSymbolic,132,18,0.13636363636363635,1.0,0.13636363636363635

E:\Downloads\jfree\data\xy\,XYBarDataset,424,199,0.4693396226415094,1.3181819,0.3560507335747468

E:\Downloads\jfree\data\xy\,XYCoordinate,225,51,0.22666666666666666,2.125,0.10666666666666666

E:\Downloads\jfree\data\xy\,XYDataItem,295,99,0.33559322033898303,1.5384616,0.21813558931977067

E:\Downloads\jfree\data\xy\,XYDataset,184,41,0.22282608695652173,1.0,0.22282608695652173

