chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Downloads\jfree\data\xy\,AbstractIntervalXYDataset,80,40,0.5,8.0,0.0625
E:\Downloads\jfree\data\xy\,AbstractXYDataset,54,27,0.5,5.0,0.1
E:\Downloads\jfree\data\xy\,AbstractXYZDataset,24,12,0.5,2.0,0.25
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,347,206,0.5936599423631124,33.0,0.017989695223124616
E:\Downloads\jfree\data\xy\,DefaultHighLowDataset,362,208,0.574585635359116,34.0,0.016899577510562234
E:\Downloads\jfree\data\xy\,DefaultIntervalXYDataset,489,295,0.6032719836400818,34.0,0.017743293636472996
E:\Downloads\jfree\data\xy\,DefaultOHLCDataset,284,157,0.5528169014084507,29.0,0.0190626517727052
E:\Downloads\jfree\data\xy\,DefaultTableXYDataset,547,252,0.4606946983546618,65.0,0.007087610743917874
E:\Downloads\jfree\data\xy\,DefaultWindDataset,258,130,0.5038759689922481,26.0,0.01937984496124031
E:\Downloads\jfree\data\xy\,DefaultWindDataset,107,43,0.40186915887850466,14.0,0.02870493991989319
E:\Downloads\jfree\data\xy\,DefaultXYDataset,321,176,0.5482866043613707,29.0,0.018906434633150712
E:\Downloads\jfree\data\xy\,DefaultXYZDataset,366,211,0.5765027322404371,29.0,0.019879404560015072
E:\Downloads\jfree\data\xy\,IntervalXYDataset,101,91,0.900990099009901,0.0,Infinity
E:\Downloads\jfree\data\xy\,IntervalXYDelegate,402,221,0.5497512437810945,40.0,0.013743781094527363
E:\Downloads\jfree\data\xy\,IntervalXYZDataset,61,52,0.8524590163934426,0.0,Infinity
E:\Downloads\jfree\data\xy\,MatrixSeries,163,89,0.5460122699386503,20.0,0.027300613496932514
E:\Downloads\jfree\data\xy\,MatrixSeriesCollection,236,129,0.5466101694915254,22.0,0.024845916795069336
E:\Downloads\jfree\data\xy\,NormalizedMatrixSeries,95,61,0.6421052631578947,6.0,0.10701754385964912
E:\Downloads\jfree\data\xy\,OHLCDataItem,146,70,0.4794520547945205,17.0,0.0282030620467365
E:\Downloads\jfree\data\xy\,OHLCDataset,101,89,0.8811881188118812,0.0,Infinity
