chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,methode_CC,methode_BC
E:\Downloads\jfree\data\xy\,AbstractIntervalXYDataset,getStartXValue_int_int,17,9,0.5294117647058824,2,0.2647058823529412
E:\Downloads\jfree\data\xy\,AbstractIntervalXYDataset,getEndXValue_int_int,17,9,0.5294117647058824,2,0.2647058823529412
E:\Downloads\jfree\data\xy\,AbstractIntervalXYDataset,getStartYValue_int_int,17,9,0.5294117647058824,2,0.2647058823529412
E:\Downloads\jfree\data\xy\,AbstractIntervalXYDataset,getEndYValue_int_int,17,9,0.5294117647058824,2,0.2647058823529412
E:\Downloads\jfree\data\xy\,AbstractXYDataset,getDomainOrder,8,5,0.625,1,0.625
E:\Downloads\jfree\data\xy\,AbstractXYDataset,getXValue_int_int,16,8,0.5,2,0.25
E:\Downloads\jfree\data\xy\,AbstractXYDataset,getYValue_int_int,16,8,0.5,2,0.25
E:\Downloads\jfree\data\xy\,AbstractXYZDataset,getZValue_int_int,16,8,0.5,2,0.25
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,CategoryTableXYDataset,8,3,0.375,1,0.375
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,add_double_double_String,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,add_Number_Number_String_boolean,15,9,0.6,2,0.3
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,remove_double_String,9,6,0.6666666666666666,1,0.6666666666666666
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,remove_Number_String_boolean,13,7,0.5384615384615384,2,0.2692307692307692
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,clear,10,6,0.6,1,0.6
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getSeriesCount,8,5,0.625,1,0.625
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getSeriesKey_int,10,7,0.7,1,0.7
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getItemCount,8,5,0.625,1,0.625
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getItemCount_int,12,10,0.8333333333333334,1,0.8333333333333334
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getX_int_int,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getStartX_int_int,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getEndX_int_int,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getY_int_int,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getStartY_int_int,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getEndY_int_int,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getDomainLowerBound_boolean,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getDomainUpperBound_boolean,11,8,0.7272727272727273,1,0.7272727272727273
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getDomainBounds_boolean,16,8,0.5,2,0.25
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,getIntervalPositionFactor,8,5,0.625,1,0.625
E:\Downloads\jfree\data\xy\,CategoryTableXYDataset,setIntervalPositionFactor_double,12,8,0.6666666666666666,1,0.6666666666666666
