chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartColor,26,45,1.0,1.0,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFactory,651,630,0.0,1.6666666,0.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFrame,3,264,88.0,1.3333334,65.99999803304678

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartHints,7,35,5.0,1.6666666,3.0000000715255752

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartMouseEvent,13,34,2.0,1.0,2.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartMouseListener,4,18,4.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,393,994,2.0,2.33,0.8583691268190418

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartRenderingInfo,29,100,3.0,1.6,1.8749999720603232

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartTheme,3,15,5.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartTransferable,86,109,1.0,1.0,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartUtils,209,359,1.0,1.0,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,HashUtils,2,146,73.0,2.2307692,32.72413900717831

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,JFreeChart,367,696,1.0,1.6774193,0.5961538639206158

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendItem,193,575,2.0,1.5,1.3333333333333333

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendItemCollection,12,52,4.0,1.375,2.909090909090909

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendItemSource,3,11,3.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,LegendRenderingOrder,4,6,1.0,NaN,NaN

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,MouseWheelHandler,5,39,7.0,2.4,2.916666550768751

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,PaintMap,36,80,2.0,1.7142857,1.1666666550768747

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,PolarChartPanel,56,81,1.0,2.1666667,0.4615384446093323

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,StandardChartTheme,90,658,7.0,2.1555555,3.247422784177289

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,StrokeMap,33,77,2.0,1.7142857,1.1666666550768747

