chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,methode_CC,methode_BC
E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartColor,ChartColor_int_int_int,3,3,1.0,1,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartColor,createDefaultPaintArray,38,6,0.15789473684210525,1,0.15789473684210525

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFactory,getChartTheme,3,3,1.0,1,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFactory,setChartTheme_ChartTheme,15,8,0.5333333333333333,3,0.17777777777777778

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFactory,createPieChart_String_PieDataset,3,26,8.666666666666666,1,8.666666666666666

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFrame,ChartFrame_String_JFreeChart,3,3,1.0,1,1.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFrame,ChartFrame_String_JFreeChart_boolean,11,6,0.5454545454545454,2,0.2727272727272727

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartFrame,getChartPanel,3,9,3.0,1,3.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartHints,ChartHints,2,1,0.5,1,0.5

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartHints,Key_int,3,11,3.6666666666666665,1,3.6666666666666665

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartHints,isCompatibleValue_Object,11,15,1.3636363636363635,3,0.45454545454545453

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartMouseEvent,getChart,3,12,4.0,1,4.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartMouseEvent,getTrigger,3,15,5.0,1,5.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartMouseEvent,getEntity,3,18,6.0,1,6.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,ChartPanel_JFreeChart,12,14,1.1666666666666667,1,1.1666666666666667

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,ChartPanel_JFreeChart_boolean,11,17,1.5454545454545454,1,1.5454545454545454

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getChart,3,93,31.0,1,31.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setChart_JFreeChart,28,98,3.5,5,0.7

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getMinimumDrawWidth,3,99,33.0,1,33.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setMinimumDrawWidth_int,3,102,34.0,1,34.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getMaximumDrawWidth,3,105,35.0,1,35.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setMaximumDrawWidth_int,3,108,36.0,1,36.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getMinimumDrawHeight,3,111,37.0,1,37.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setMinimumDrawHeight_int,3,114,38.0,1,38.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getMaximumDrawHeight,3,117,39.0,1,39.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setMaximumDrawHeight_int,3,120,40.0,1,40.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getScaleX,3,123,41.0,1,41.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getScaleY,3,126,42.0,1,42.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getAnchor,3,129,43.0,1,43.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setAnchor_Point2D,3,132,44.0,1,44.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getPopupMenu,3,135,45.0,1,45.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setPopupMenu_JPopupMenu,3,138,46.0,1,46.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,getChartRenderingInfo,3,141,47.0,1,47.0

E:\Documents\GitHub\QualiteLogiciel\TP1\classesTest\jfree\chart\,ChartPanel,setMouseZoomable_boolean,3,144,48.0,1,48.0

